Date,Room,Type,Description,Additional Description
2025-08-20T20:21:04.836,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:04.841,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:12.591,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:12.606,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:21:15.041,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:21:15.052,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:21:24.633,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:24.643,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:40.743,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:40.754,103,Value monitoring,MUR 1 -> 0,
2025-08-13T11:45:21.541,101,Value monitoring,Door 1 -> 0,
2025-08-13T11:45:26.847,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:43:21.494,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:43:21.506,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:43:31.221,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:43:31.226,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:43:31.235,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:43:31.243,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:43.648,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:21:43.659,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:21:46.099,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:21:46.105,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:21:53.707,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:21:53.715,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:03.694,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:03.705,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:13.722,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:22:13.729,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:16.009,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:22:16.023,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:22:23.566,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:23.581,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:33.547,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:22:33.571,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:22:43.586,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:22:43.599,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:22:46.155,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:22:46.167,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:22:53.704,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:22:53.713,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:23:03.521,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:23:03.570,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:23:14.300,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:23:14.309,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:23:14.315,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:23:14.323,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:23:24.478,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:23:24.485,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:23:34.565,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:23:34.574,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:23:44.193,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:23:44.204,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:23:44.215,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:23:44.231,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:23:54.182,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:23:54.193,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:24:04.010,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:24:04.020,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:24:13.737,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:24:13.746,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:24:16.163,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:24:16.171,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:24:23.269,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:24:23.276,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:24:33.183,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:24:33.192,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:24:45.371,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:24:45.398,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:24:45.415,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:24:45.424,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:24:53.138,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:24:53.153,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:25:03.206,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:25:03.215,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:25:15.453,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:25:15.464,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:25:15.473,103,Value monitoring,DND 0 -> 1,
2025-08-13T12:09:55.705,101,Value monitoring,Door 1 -> 0,
2025-08-13T12:10:03.440,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:43:41.025,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:43:41.062,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:43:50.758,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:43:50.780,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:25:15.484,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:25:25.472,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:25:25.479,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:25:35.237,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:25:35.243,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:25:44.836,103,Value monitoring,Window  0 -> 1,
